count,pages_per_second,percentage_complete,memory in use
30000,32.588855252159085,44.81464369401904,27.2
40000,40.963315828404006,45.01183709640731,27.3
50000,48.692806117242924,45.21996432901264,27.3
60000,55.59010128475516,45.42627066485461,27.2
70000,61.90264718497734,45.629847767960804,27.2
80000,67.71541219613715,45.81127414779497,27.2
90000,73.0630416845572,45.9931906065724,27.3
100000,77.57397365500444,46.17308760211809,27.3
110000,80.83813786154803,46.341049485467806,27.2
120000,84.34337848205978,46.51908756088386,27.3
130000,87.98242287331809,46.70196727827392,27.4
140000,91.71270415835617,46.86244278328338,27.4
150000,95.31190691844881,47.043712844833905,27.6
160000,98.58119721449778,47.22163685015109,27.4
170000,101.44346117846806,47.38588089324154,27.4
180000,104.40906405528679,47.55641569104342,27.4
190000,107.43575024486107,47.712860719226335,27.3
200000,110.22228648276979,47.85873525158118,27.4
210000,111.27879861006792,48.04412028632778,27.4
220000,113.32701282384332,48.212441279248,27.4
230000,115.52001819676642,48.38713752324917,27.4
240000,117.44136334810176,48.54435991803176,27.5
250000,119.55967425836673,48.699478353213074,27.5
10000,11.82979880578347,48.846865370582485,25.8
20000,22.072568512059433,48.99056834624044,25.8
30000,31.37362723491505,49.17429302732579,25.8
40000,39.68078890150462,49.34546577271761,26.0
50000,47.76423906927535,49.46905438760918,25.9
60000,55.35884096945912,49.581333163439304,25.9
70000,62.688785220585466,49.707448219779785,25.8
80000,69.09995561654593,49.835126458956566,26.0
90000,75.43576813665464,49.95538169207022,25.8
100000,67.47922826815724,50.10349537821758,31.2
110000,71.8705146844575,50.26376386712168,31.2
120000,75.88229989456879,50.4194737768897,31.1
130000,79.45584690970544,50.56405551479075,31.3
140000,82.82386083745295,50.71860782429623,31.2
150000,86.21724386526083,50.874659944360836,31.2
160000,89.36612287628245,51.02973613135738,31.3
170000,91.83942102282008,51.18837806514806,31.8
180000,94.4388104324689,51.338925246737844,31.7
190000,97.23434031105866,51.450033747849986,31.7
200000,100.2166966507495,51.55362629689253,31.8
210000,100.43394254656073,51.69533093341111,32.0
220000,102.16521432186886,51.83598781494755,32.1
230000,104.01614772650014,51.97902749410469,32.3
240000,106.00288470359983,52.14535437270402,32.1
250000,108.29375225808963,52.27065826389703,32.4
10000,11.745564891822175,52.3872886027579,30.8
20000,22.329411689891586,52.49718458096729,30.9
30000,31.86618782235628,52.606577805778,31.1
40000,40.75569681617299,52.717627159431466,30.8
50000,48.62685405410635,52.83400823400222,30.9
60000,55.65841768461538,52.947592478741555,31.0
70000,61.961368332414764,53.08067426074972,30.9
80000,67.46771766567272,53.22508700591171,30.9
90000,72.79362349423874,53.35187803320842,30.9
100000,77.67381464676416,53.48593152346617,31.0
110000,82.42585615795814,53.62478440751315,31.1
120000,86.72567857590128,53.760781314270055,31.0
130000,90.20196923568724,53.90847674338824,30.9
140000,93.61877190444814,54.04617625199115,30.9
150000,96.88684836153472,54.18930042751783,30.9
160000,99.58446889756544,54.3227201950041,30.9
170000,102.92583787995683,54.449143663093366,30.9
180000,106.41510608032915,54.567079470863455,30.9
190000,108.84464114638592,54.70294963306607,30.8
200000,110.70975632961074,54.8550135244889,30.9
210000,112.5991923802399,55.00411159334128,31.3
220000,114.32207309157563,55.157971032616615,30.9
230000,116.12655546469982,55.31031798687738,30.9
240000,118.17963075515917,55.45211556940245,30.9
250000,117.90544177871527,55.587385807381395,31.1
10000,11.094149434286985,55.6767238188844,33.0
20000,20.360424553800936,55.83250132574804,32.9
30000,28.858403091558884,55.98256687803151,32.8
40000,36.64440849037275,56.1351799958563,32.8
50000,43.82982690583431,56.305828863757036,32.8
60000,50.23323185587967,56.471927602158644,36.0
70000,56.311775244144236,56.6301977519234,36.1
80000,61.85951221298413,56.786406190271634,36.1
90000,67.26072806988248,56.94141900499103,36.1
100000,71.74822558389428,57.09347022195844,36.2
110000,76.20237886081614,57.249526566841524,36.1
120000,80.47012142753012,57.401886195557715,36.1
130000,85.45296756816931,57.506437778394414,36.2
140000,88.7708211744962,57.645379383629404,36.2
150000,92.38700806923684,57.801739915442795,36.1
160000,95.83996506491164,57.949916973867296,36.2
170000,98.75269218763167,58.10891379241,36.1
180000,101.54951946880038,58.27671513265761,36.1
190000,104.45252258968243,58.431656125462915,36.3
200000,106.6525508320383,58.60130793620322,36.1
210000,108.99104980438693,58.77087525057399,36.2
220000,110.9565050187639,58.94128752864004,36.1
230000,112.61750577093379,59.10387121806925,36.2
240000,114.63534632486238,59.254697237678485,36.2
250000,117.39109646399523,59.37527778181483,36.2
10000,10.62717630265519,59.51619237727832,35.6
20000,19.990602890907375,59.69035206933299,35.5
30000,28.534310842979206,59.86704665247353,35.5
40000,36.142534745682106,60.03796168393829,35.4
50000,43.58198019932554,60.16975067149265,35.5
60000,49.96894653275341,60.321535724896044,35.5
70000,55.56045834933186,60.475395164171374,35.2
80000,60.95789031466908,60.634535626542274,35.3
90000,67.02471262044409,60.73007144675022,35.3
100000,73.24369942688514,60.81318207581893,35.2
110000,79.47537375545465,60.890217415918514,35.2
120000,83.60132927441822,61.0510985035017,35.3
130000,87.93716304447382,61.1969983847674,35.1
140000,90.92015173819078,61.35695001228577,35.1
150000,94.522458465585,61.49714216378979,35.1
160000,97.84322569331216,61.67450849306809,35.1
170000,100.49214971144337,61.82045907215551,35.0
180000,103.19532908020142,61.98021635802397,35.0
190000,105.81608572451665,62.12981295545655,35.1
200000,108.48543811676892,62.25350296599156,34.8
210000,110.94673568464384,62.39287127789267,35.5
220000,113.39418716117012,62.534791380153564,35.3
230000,116.49189315527094,62.6375220662269,35.2
240000,119.00636474888431,62.769572992526804,35.2
250000,121.92284777920665,62.86805773603131,35.3
10000,9.905590212722235,62.98695257759556,34.0
20000,18.887675567276737,63.10886393955197,33.6
30000,27.380226145742622,63.21992596766087,33.6
40000,35.038823253566264,63.342876634962494,33.6
50000,42.57440371898324,63.455332853168635,33.6
60000,49.31205625353053,63.57811875254967,33.6
70000,55.76513181066683,63.700811705924245,33.6
80000,60.97873242286588,63.85800875179597,33.7
90000,65.9242179683249,64.01983197389941,33.8
100000,70.81295825905987,64.1687483755573,34.1
110000,75.87700091565739,64.30087957340825,34.1
120000,80.19841482807944,64.509019480469,34.1
130000,84.16308480864383,64.6770574105513,34.1
140000,88.53784886552799,64.78442694731179,34.2
150000,92.411871054372,64.93219419834408,34.2
160000,95.61951815589016,65.10727490082661,34.2
170000,99.1485410531244,65.22356302939087,34.2
180000,102.43973058980895,65.35523372202789,34.2
